transaction_id,account_id,transaction_type,amount,transaction_ts,merchant_category
2673e587-985a-40a7-a7df-ed9300b31e78,A0380,Transfer,210.34,2023-01-18T14:19:00,Entertainment
8d846a47-4b38-444e-ac5e-63fd50454cb0,A0095,Transfer,140.34,2023-01-23T15:25:00,Entertainment
88cf22bc-1c8a-4a8e-9b5f-25706c06d91e,A0265,Payment,32.91,2023-01-04T18:14:00,Healthcare
57e28191-da89-4c54-beb2-cf0a757d1b88,A0217,Deposit,433.04,2023-01-20T14:20:00,Travel
590d6413-ab0d-48f7-b12b-92719483c76b,A0092,Payment,407.39,2023-01-15T14:50:00,Groceries
475aafec-64df-4d54-87e7-a0b8f7e83d8c,A0040,Payment,499.86,2023-01-14T10:55:00,Entertainment
bc7fdd1e-8fc9-4771-a2b9-a19edba52d4a,A0228,Transfer,498.34,2023-01-08T14:01:00,Healthcare
738ed61d-5288-43cd-bbc6-0860582f6f1c,A0227,Payment,279.94,2023-01-21T08:23:00,Groceries
c08a4227-b641-43f8-ad65-51ad117270b0,A0372,Payment,385.65,2023-01-28T23:34:00,Dining
9dc263a9-401e-4dbd-abd8-93afad14ae1d,A0140,Deposit,472.66,2023-01-04T09:57:00,Healthcare
140bad21-9d18-481a-9302-7fc92f08a54e,A0326,Transfer,425.58,2023-01-17T12:49:00,Travel
f348ec1a-609e-4147-b8dd-e115c434cc1b,A0383,Withdrawal,127.44,2023-01-02T10:00:00,Utilities
a9b640ba-7b5e-4161-8c10-80340e4c7163,A0311,Transfer,228.02,2023-01-02T14:00:00,Utilities
e85a6680-b061-475f-a553-64c03445c96f,A0034,Withdrawal,68.93,2023-01-30T08:41:00,Entertainment
2d3df788-49f4-485b-a27f-e214adc547ee,A0185,Transfer,477.26,2023-01-26T19:34:00,Groceries
bd16c6c8-eec0-4432-9cec-71153f264327,A0309,Withdrawal,305.06,2023-01-21T11:26:00,Entertainment
ccf4f25b-c8c2-44c4-ae06-a1cc78589862,A0190,Transfer,118.18,2023-01-04T11:58:00,Travel
7fbb6ebd-5ca7-4a52-ae1c-6eb3eafc4cb9,A0070,Payment,337.49,2023-01-19T02:45:00,Entertainment
545638e6-ed17-465f-90da-4fa2698847aa,A0332,Payment,310.97,2023-01-12T08:38:00,Groceries
4e59b55f-4aa8-43fa-8e4e-352739a7a178,A0013,Withdrawal,182.29,2023-01-23T17:05:00,Travel
c1273659-ad30-4c76-bb7b-b85392e1b80c,A0198,Deposit,61.21,2023-01-12T21:55:00,Education
59ac4e86-7822-48c1-8c6c-f69fcf4e5f89,A0133,Transfer,337.43,2023-01-10T18:22:00,Travel
b7a164d3-dcc2-4845-9564-4c1d7c20d097,A0146,Transfer,262.55,2023-01-10T02:38:00,Groceries
19bc4a0d-834f-45b7-a920-937790694153,A0069,Deposit,387.3,2023-01-21T13:45:00,Utilities
982f3e66-6282-4811-bb44-4a79740fa4d8,A0365,Transfer,262.48,2023-01-04T23:53:00,Education
3e0a6c6a-a562-4638-ab58-3e9c3e32d40b,A0349,Payment,426.83,2023-01-16T19:28:00,Healthcare
96ed9660-a214-4185-8d23-0d1135b3f882,A0033,Payment,278.19,2023-01-14T15:37:00,Education
a900be03-a4bf-450c-a69d-a56fc07c61d8,A0080,Withdrawal,282.66,2023-01-17T10:50:00,Travel
94d2f654-88b3-4873-a0e0-4eacca5f95a3,A0114,Deposit,438.94,2023-01-10T03:31:00,Education
05eb6fbc-2182-458d-a259-8d8091b99929,A0071,Withdrawal,204.72,2023-01-23T11:36:00,Groceries
81402445-541f-43b7-bf35-55f0a7b40cb8,A0184,Payment,71.34,2023-01-22T06:31:00,Education
b6bc1932-6499-4c02-9c6c-afaf77f70ed9,A0282,Withdrawal,19.25,2023-01-28T20:24:00,Groceries
c60102a8-1c51-4bcc-853a-f0ae14a82ab6,A0033,Payment,378.79,2023-01-19T02:53:00,Healthcare
f8c26db9-6607-4e69-800a-bcb4f37bd764,A0368,Transfer,312.05,2023-01-24T22:11:00,Dining
3bc73eb6-8870-4112-8cc9-0483b9299331,A0393,Transfer,353.52,2023-01-27T03:56:00,Groceries
0e91fbf8-7967-4750-9dd6-a149ae0a68da,A0064,Payment,110.42,2023-01-30T05:36:00,Groceries
4c1a6815-6783-49ac-9a5e-828970c741a3,A0230,Transfer,72.5,2023-01-24T13:05:00,Entertainment
fcd54688-f692-46f1-84df-075ab8fb0ff9,A0065,Withdrawal,12.2,2023-01-06T20:56:00,Dining
603fec3e-5f93-43f3-ac92-942400abf85c,A0257,Deposit,178.54,2023-01-06T15:37:00,Travel
5abfdf22-84d3-494d-b19a-280af365164f,A0078,Payment,297.01,2023-01-08T11:50:00,Utilities
c9e341ea-af1c-40b7-b012-90ddd6a5a495,A0165,Withdrawal,199.16,2023-01-16T17:56:00,Travel
4e1fe731-2e5a-4db3-852b-8ece76b2213d,A0145,Deposit,221.55,2023-01-12T09:43:00,Utilities
8afecf91-d083-4968-82eb-5c3f1e6f37b5,A0325,Payment,452.56,2023-01-06T16:43:00,Healthcare
bf8d1109-e2a4-4b8f-925c-b33bc5a86b94,A0155,Deposit,177.39,2023-01-23T20:56:00,Healthcare
099dae5f-7737-480f-88f3-47914818cb31,A0086,Withdrawal,259.42,2023-01-08T18:59:00,Healthcare
aec72546-9853-43ff-9199-b483285039f3,A0319,Payment,392.91,2023-01-26T15:37:00,Groceries
1676b96c-e79e-46fe-9af6-fd539c9c8c01,A0014,Deposit,201.29,2023-01-03T01:39:00,Healthcare
bc8e8598-322c-4d40-a945-f01ab1a7a5fb,A0394,Payment,312.93,2023-01-30T15:12:00,Utilities
2bb85035-3f09-4ac4-8427-452809af47ef,A0392,Transfer,431.87,2023-01-29T03:08:00,Healthcare
981ae96d-9410-4e90-a3bb-46fb41eb0ecb,A0015,Transfer,475.01,2023-01-29T13:01:00,Travel
e133381d-9cab-4de4-b97c-a8c94236ecce,A0148,Payment,77.8,2023-01-22T23:30:00,Utilities
10e0e29c-7b26-42fd-ad44-fcd9859b69db,A0350,Transfer,463.66,2023-01-14T12:52:00,Dining
44838cc8-f957-4168-8012-0ebc552f4359,A0037,Deposit,248.6,2023-01-08T04:39:00,Dining
3e5cc079-3bc4-4f7d-998c-6cf3f2de1d10,A0212,Transfer,132.83,2023-01-22T03:17:00,Utilities
319b3fa9-1051-4e0d-900a-bc7d687b2777,A0174,Withdrawal,232.27,2023-01-15T05:25:00,Education
1510a62f-ab8c-458c-9eec-1bcec009ad47,A0367,Payment,490.12,2023-01-16T17:14:00,Dining
b24ded51-aff4-4937-af72-7c02d2140e5d,A0066,Payment,248.85,2023-01-24T10:29:00,Travel
7ab95583-bb19-4893-9639-5d34427a0a2e,A0054,Payment,167.73,2023-01-12T00:02:00,Dining
bb8ea9c6-b524-40fb-9cbc-cd34b6868c80,A0062,Payment,318.53,2023-01-21T11:04:00,Utilities
bed5b708-f576-46bf-8871-cae96091d27d,A0072,Deposit,123.87,2023-01-03T07:16:00,Entertainment
55ffb5e3-906a-4e5b-bd3c-1d75522aadc3,A0196,Transfer,42.55,2023-01-12T07:10:00,Education
0437a8cc-2850-44bf-8f02-364088bb1b65,A0081,Payment,68.8,2023-01-27T06:59:00,Healthcare
82e23e51-a36d-424a-961c-443fa9014469,A0160,Withdrawal,68.38,2023-01-08T06:02:00,Dining
01a2922e-0e70-4448-9104-b0533aab8092,A0263,Transfer,80.19,2023-01-23T16:46:00,Entertainment
35fed0c8-d6ae-45e9-881e-60e508b464ce,A0254,Deposit,73.72,2023-01-05T02:21:00,Dining
defcc32d-1629-4f23-9b3b-cdb51625f7af,A0258,Transfer,322.23,2023-01-11T22:56:00,Utilities
dd07d5fc-0dd1-43a1-b669-3f609f98f8e8,A0298,Payment,95.03,2023-01-03T05:08:00,Groceries
365c19d4-ee60-45c9-a6a1-153e024f2025,A0144,Transfer,176.11,2023-01-28T04:38:00,Education
8eab27f6-eeb6-4619-b356-d658bd7c2528,A0334,Transfer,448.91,2023-01-14T00:06:00,Travel
16b43c1e-ad4d-4dc8-8204-8d1b9c338006,A0004,Deposit,239.61,2023-01-20T14:41:00,Utilities
89edde13-f10a-4a3f-91b1-8cddfd099543,A0135,Payment,335.44,2023-01-19T08:27:00,Entertainment
8dbdebad-e5f1-4f3a-a385-4b2d7200627b,A0023,Transfer,90.3,2023-01-03T07:52:00,Travel
9a088712-c6fb-4743-bc01-74b2dc739b9f,A0287,Withdrawal,100.18,2023-01-17T11:58:00,Travel
caa544df-fdda-45ad-b235-766874a26d00,A0147,Deposit,25.23,2023-01-18T13:59:00,Travel
54ae291f-962e-46c0-bf9f-d47d9177aa3d,A0230,Payment,88.62,2023-01-29T08:44:00,Healthcare
0861b2ae-97a8-49a2-a24e-5b80104e509d,A0312,Deposit,142.9,2023-01-06T20:32:00,Groceries
ffadc696-2952-45e6-849f-43b1a61d9027,A0201,Payment,92.62,2023-01-16T10:22:00,Travel
fc040df2-91e1-4714-af59-722362289910,A0187,Withdrawal,48.91,2023-01-10T01:25:00,Travel
7afde31f-7374-4eeb-9f4b-efaf173768c2,A0260,Transfer,64.71,2023-01-23T18:13:00,Groceries
d14e493d-24ad-4298-ad32-083b1e8af353,A0023,Deposit,233.09,2023-01-07T05:40:00,Healthcare
